
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
    39.809   -28.150   -27.249     0.901
    40.808   -28.579   -27.511     1.068
    41.808   -29.005   -27.766     1.239
    42.808   -29.427   -28.021     1.407
    43.807   -29.847   -28.275     1.571
    44.807   -30.267   -28.507     1.760
    45.806   -30.666   -28.732     1.934
    46.806   -30.946   -28.958     1.988
    47.806   -31.222   -29.183     2.039
    48.805   -31.495   -29.392     2.103
    49.805   -31.764   -29.598     2.166
    50.805   -32.029   -29.804     2.226
    51.804   -32.291   -30.009     2.282
    52.804   -32.549   -30.202     2.347
    53.803   -32.803   -30.392     2.411
    54.803   -33.054   -30.582     2.472
    55.803   -33.300   -30.772     2.528
    56.802   -33.543   -30.951     2.593
    57.802   -33.783   -31.127     2.656
    58.801   -33.996   -31.303     2.693
    59.801   -34.156   -31.479     2.677
    60.801   -34.316   -31.646     2.669
    61.800   -34.484   -31.811     2.673
    62.800   -34.674   -31.976     2.698
    63.800   -34.868   -32.141     2.727
    64.799   -35.065   -32.303     2.762
    65.799   -35.264   -32.464     2.800
    66.798   -35.467   -32.625     2.842
    67.798   -35.673   -32.786     2.887
    68.798   -35.881   -32.952     2.929
    69.797   -36.093   -33.119     2.974
    70.797   -36.308   -33.286     3.021
    71.797   -36.482   -33.453     3.029
    72.796   -36.615   -33.628     2.987
    73.796   -36.746   -33.805     2.941
    74.795   -36.874   -33.981     2.892
    75.795   -36.999   -34.158     2.841
    76.795   -37.121   -34.323     2.797
    77.794   -37.215   -34.486     2.728
    78.794   -37.210   -34.649     2.560
    79.793   -37.200   -34.812     2.388
    80.793   -37.187   -34.940     2.247
    81.793   -37.168   -35.058     2.110
    82.792   -37.146   -35.176     1.970
    83.792   -37.119   -35.294     1.824
    84.792   -37.059   -35.368     1.692
    85.791   -36.986   -35.430     1.556
    86.791   -36.907   -35.492     1.415
    87.790   -36.823   -35.554     1.269
    88.790   -36.735   -35.586     1.148
    89.790   -36.641   -35.611     1.031
    90.789   -36.543   -35.635     0.908
    91.789   -36.439   -35.659     0.780
    92.789   -36.331   -35.651     0.679
    93.788   -36.208   -35.635     0.573
    94.788   -36.013   -35.619     0.394
    95.787   -35.804   -35.603     0.201
    96.787   -35.582   -35.551     0.031
    97.787   -35.375   -35.490    -0.115
    98.786   -35.169   -35.429    -0.260
    99.786   -34.962   -35.368    -0.406
   100.785   -34.756   -35.283    -0.527
   101.785   -34.549   -35.192    -0.643
   102.785   -34.342   -35.101    -0.759
   103.784   -34.135   -35.010    -0.875
   104.784   -33.927   -34.906    -0.978
   105.784   -33.720   -34.798    -1.078
   106.783   -33.512   -34.690    -1.178
   107.783   -33.304   -34.582    -1.278
   108.782   -33.096   -34.441    -1.346
   109.782   -32.897   -34.292    -1.394
   110.782   -32.727   -34.142    -1.415
   111.781   -32.558   -33.992    -1.434
   112.781   -32.391   -33.797    -1.406
   113.781   -32.226   -33.590    -1.363
   114.780   -32.064   -33.382    -1.319
   115.780   -31.903   -33.175    -1.272
   116.779   -31.744   -32.929    -1.185
   117.779   -31.587   -32.673    -1.085
   118.779   -31.433   -32.416    -0.984
   119.778   -31.280   -32.160    -0.880
   120.778   -31.129   -31.869    -0.740
   121.777   -30.980   -31.569    -0.589
   122.777   -30.829   -31.268    -0.439
   123.777   -30.671   -30.968    -0.297
   124.776   -30.512   -30.675    -0.163
   125.776   -30.353   -30.385    -0.033
   126.776   -30.162   -30.095     0.066
   127.775   -29.969   -29.805     0.164
   128.775   -29.776   -29.544     0.232
   129.774   -29.582   -29.291     0.292
   130.774   -29.388   -29.037     0.351
   131.774   -29.193   -28.784     0.409
   132.773   -28.997   -28.543     0.454
   133.773   -28.801   -28.306     0.495
   134.773   -28.604   -28.068     0.535
   135.772   -28.393   -27.831     0.563
   136.772   -28.172   -27.574     0.598
   137.771   -27.946   -27.312     0.634
   138.771   -27.716   -27.050     0.666
   139.771   -27.480   -26.788     0.693
   140.770   -27.240   -26.499     0.742
   141.770   -26.996   -26.201     0.794
   142.769   -26.723   -25.904     0.819
   143.769   -26.441   -25.607     0.834
   144.769   -26.151   -25.301     0.850
   145.768   -25.854   -24.993     0.861
   146.768   -25.549   -24.685     0.864
   147.768   -25.237   -24.377     0.859
   148.767   -24.916   -24.061     0.854
   149.767   -24.589   -23.743     0.846
   150.766   -24.256   -23.425     0.831
   151.766   -23.918   -23.107     0.811
   152.766   -23.573   -22.774     0.799
   153.765   -23.224   -22.438     0.786
   154.765   -22.868   -22.101     0.767
   155.765   -22.507   -21.764     0.743
   156.764   -22.140   -21.419     0.720
   157.764   -21.767   -21.072     0.695
   158.763   -21.379   -20.725     0.654
   159.763   -20.987   -20.378     0.609
   160.763   -20.591   -20.024     0.567
   161.762   -20.155   -19.667     0.488
   162.762   -19.716   -19.311     0.405
   163.761   -19.274   -18.955     0.319
   164.761   -18.829   -18.593     0.236
   165.761   -18.381   -18.230     0.150
   166.760   -17.930   -17.867     0.062
   167.760   -17.475   -17.505    -0.029
   168.760   -17.018   -17.133    -0.115
   169.759   -16.557   -16.758    -0.201
   170.759   -16.093   -16.384    -0.291
   171.758   -15.627   -16.010    -0.383
   172.758   -15.157   -15.617    -0.460
   173.758   -14.647   -15.217    -0.570
   174.757   -13.970   -14.818    -0.848
   175.757   -13.263   -14.419    -1.156
   176.757   -12.550   -13.983    -1.433
   177.756   -11.830   -13.534    -1.704
   178.756   -11.104   -13.086    -1.982
   179.755   -10.372   -12.638    -2.266
   180.755    -9.633   -12.175    -2.542
   181.755    -8.888   -11.709    -2.820
   182.754    -8.137   -11.242    -3.105
   183.754    -7.380   -10.775    -3.395
   184.753    -6.616   -10.313    -3.697
   185.753    -5.846    -9.854    -4.008
   186.753    -5.105    -9.394    -4.288
   187.752    -4.390    -8.934    -4.544
   188.752    -3.665    -8.504    -4.839
   189.752    -2.930    -8.084    -5.153
   190.751    -2.187    -7.663    -5.476
   191.751    -1.437    -7.243    -5.805
   192.750    -0.681    -6.844    -6.163
   193.750     0.082    -6.453    -6.534
   194.750     0.851    -6.061    -6.912
   195.749     1.627    -5.670    -7.297
   196.749     2.409    -5.211    -7.620
   197.749     3.198    -4.730    -7.928
   198.748     3.994    -4.248    -8.242
   199.748     4.802    -3.767    -8.569
   200.747     5.624    -3.106    -8.730
   201.747     6.459    -2.384    -8.843
   202.747     7.306    -1.663    -8.969
   203.746     8.164    -0.942    -9.106
   204.746     9.035    -0.121    -9.157
   205.745     9.918     0.733    -9.186
   206.745    10.767     1.587    -9.180
   207.745    11.595     2.441    -9.154
   208.744    12.433     3.318    -9.115
   209.744    13.281     4.203    -9.078
   210.744    14.139     5.087    -9.051
   211.743    15.007     5.972    -9.035
   212.743    16.013     6.865    -9.148
   213.742    17.039     7.761    -9.279
   214.742    18.080     8.656    -9.424
   215.742    19.136     9.552    -9.585
   216.741    20.207    10.450    -9.757
   217.741    21.293    11.350    -9.942
   218.741    22.393    12.250   -10.143
   219.740    23.508    13.150   -10.358
   220.740    24.638    14.050   -10.588
   221.739    25.782    14.950   -10.832
   222.739    26.891    15.850   -11.041
   223.739    27.964    16.750   -11.214
   224.738    29.049    17.651   -11.398
   225.738    30.156    18.553   -11.603
